num_samples,auc
10,0.873917118950701
30,0.8845294549977386
50,0.8853415875169607
70,0.8856661013116236
90,0.8858454319312529
110,0.8859686793306196
130,0.8860144730891
150,0.8860965626413387
170,0.8862718227046584
190,0.8864715061058346
210,0.8865418362731796
230,0.8866828358208955
250,0.8868026910900045
270,0.8869504748982361
290,0.8870924920850295
310,0.887240275893261
330,0.8873893034825872
350,0.8875287200361827
370,0.8876956128448666
390,0.887875961103573
410,0.8879509271822704
430,0.8880559701492539
450,0.8881238127544098
470,0.8881822704658525
490,0.8882570104025328
510,0.8882920624151966
530,0.8883612618724559
550,0.8884433514246947
570,0.8885976933514247
590,0.8887062415196745
610,0.8887717096336499
630,0.8889011759384894
650,0.8890065581184985
670,0.8891205336951608
690,0.8892321347806422
710,0.8893578697421981
730,0.8894441429217548
750,0.8894690185436455
770,0.8895818634102216
790,0.8896796698326549
