num_samples,auc,std
10,0.6115603551221219,0.0416080708087118
30,0.7293391300149565,0.058735228031347064
50,0.7739592604443554,0.05956912377814744
70,0.7972881755922955,0.05487046660970757
90,0.8102608065224168,0.05416169561396566
110,0.8132153550054838,0.051553503403343345
130,0.8227103405041405,0.05323807406447294
150,0.8275521287842793,0.0518214621137156
170,0.831299884194762,0.05087455104172006
190,0.8424817219893633,0.04707966402692913
210,0.8446019449518918,0.04701361153945419
230,0.8453380646545376,0.03813189641594943
250,0.8576012188332199,0.037465862743356275
270,0.8587340733598483,0.03749191565655228
290,0.8596243333878405,0.03750220310417679
310,0.8605359088328675,0.03748330510266139
330,0.8612261963601493,0.03752960222720404
350,0.8619020378015914,0.03751171182033267
370,0.8624471536784521,0.037533830583974526
390,0.8629456416806196,0.03748446882218432
410,0.863400830689778,0.03752518523616124
430,0.8524421149191056,0.036591041609235084
450,0.8528617302659328,0.03654016793353381
470,0.8531337005303751,0.036454228044778075
490,0.8534190920609753,0.03637123133181413
510,0.8536935132983364,0.03624320211311925
530,0.8538726551190253,0.03626052092045305
550,0.8540699762932021,0.036125811591780146
570,0.8542901445869054,0.036093466411775306
590,0.8544544746814108,0.036060215520044646
610,0.8546362049134646,0.03600998254141357
630,0.8553338191575321,0.05091052146659914
650,0.8555281494976598,0.050865002862250853
670,0.8556806586830912,0.05082601904584691
690,0.8558302803652829,0.05073898923912638
710,0.8559848114382125,0.05070530127624816
730,0.8560847150864677,0.05068906310707673
750,0.8561952382368037,0.050641656132096695
770,0.8562733847615853,0.05063236110549401
790,0.8563451094629,0.05060752229943864
810,0.8206725842696629,
830,0.8208087265917603,
850,0.8209724719101122,
870,0.8211140449438203,
890,0.8211897378277153,
910,0.8212893258426966,
930,0.8214132958801499,
950,0.8215244569288388,
970,0.8215959925093633,
990,0.8216767041198503,
1010,0.8217664794007491,
1030,0.8218648689138577,
1050,0.8218856928838951,
1070,0.8219538951310862,
1090,0.8220279400749064,
1110,0.822111947565543,
1130,0.8221614606741573,
1150,0.8222225842696629,
1170,0.8222747940074906,
1190,0.8223295505617977,
1210,0.8223913483146066,
1230,0.8224682397003746,
1250,0.8225301872659175,
1270,0.8225823595505618,
1290,0.8226411985018727,
1310,0.8226351310861424,
