num_samples,auc_dif,std_dif
10,-0.2240956580445037,0.0018689698812238281
30,-0.11031187257248976,0.017075065333892983
50,-0.066340978940584,0.01803713519137936
70,-0.04327408301711777,0.01337182015914068
90,-0.03048821225351117,0.012637981147230123
110,-0.02133992481806979,0.014037142655502613
130,-0.01636142064486079,0.01620541239016017
150,-0.011667459660574475,0.014709904947743047
170,-0.008072647992873327,0.013687407172084366
190,9.952872545604396e-05,0.00828618563472272
210,0.0020614346153819962,0.00815090572464422
230,5.6079281840482054e-05,0.005868841637885432
250,0.0031527611493207264,0.00459811201327439
270,0.004093161577134463,0.004559118359654654
290,0.00480663165606543,0.004502457214566602
310,0.005534603040339925,0.004410863489199758
330,0.00603701638214682,0.00438172189718538
350,0.00652760877159797,0.004297646397576377
370,0.006888592537353633,0.004236815825766793
390,0.007201019941972975,0.004115241444235855
410,0.007505325631761872,0.004109579559042911
430,0.0036790684558142273,-0.00031244759252092164
450,0.003998509207452705,-0.00035144564778793325
470,0.00417626557373163,-0.00041551125112718884
490,0.004364361703569353,-0.0004945677471820953
510,0.004555501552503172,-0.0005967077656316364
530,0.004645229284290231,-0.0005731152549845395
550,0.004740590984471771,-0.0007045158715625055
570,0.004840971978717246,-0.0007814798352459434
590,0.004900989782107512,-0.0008333581837640519
610,0.004994788781661819,-0.0008695486222178583
630,0.0030818454204971646,-0.0009192773368515636
650,0.0031825483410322652,-0.00098141968280345
670,0.003241028539630708,-0.0010486122370669884
690,0.0033004302034261856,-0.0011658794388375929
710,0.003357693046514121,-0.0012398254397824604
730,0.003389460104991082,-0.0012817126201936924
750,0.003450897504306827,-0.0012948813022118921
770,0.0034443257156505647,-0.0013439532817255337
790,0.003436360688894635,-0.001394412962653989
810,0.004462808988764055,
830,0.004543895131086106,
850,0.00463700374531828,
870,0.004714606741573091,
890,0.004734719101123552,
910,0.004772022471910109,
930,0.004819101123595515,
950,0.00486734082396989,
970,0.004878951310861468,
990,0.0048931460674157545,
1010,0.004921198501872781,
1030,0.004952883895131155,
1050,0.004922209737827754,
1070,0.004933558052434561,
1090,0.004946891385767982,
1110,0.004975842696629096,
1130,0.004975355805243442,
1150,0.004979101123595564,
1170,0.004971647940074764,
1190,0.004980898876404405,
1210,0.0049732958801496085,
1230,0.004997340823970187,
1250,0.004994681647939925,
1270,0.004997415730337074,
1290,0.0050080149812734565,
1310,0.004953445692883918,
